,pcfg_jed,pcfg_odz,pcfg_prec,pcfg_f1,pcfg_isti,cnn_jed,cnn_odz,cnn_prec,cnn_f1,cnn_isti
tdbD00000008,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00000017,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00000019,0.9452054794520548,1.0,0.9130434782608695,0.9545454545454545,False,1.0,1.0,1.0,1.0,True
tdbD00000024,0.6944444444444444,0.5714285714285714,0.5714285714285714,0.5714285714285714,False,1.0,1.0,1.0,1.0,True
tdbD00000039,0.75,0.7142857142857143,0.6521739130434783,0.6818181818181819,False,1.0,1.0,1.0,1.0,True
tdbD00000089,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00000090,0.9466666666666667,1.0,0.9130434782608695,0.9545454545454545,False,1.0,1.0,1.0,1.0,True
tdbD00000091,0.9473684210526315,1.0,0.9130434782608695,0.9545454545454545,False,1.0,1.0,1.0,1.0,True
tdbD00000217,0.8082191780821918,0.65,0.7647058823529411,0.7027027027027027,False,1.0,1.0,1.0,1.0,True
tdbD00000225,0.9722222222222222,0.9523809523809523,0.9523809523809523,0.9523809523809523,False,1.0,1.0,1.0,1.0,True
tdbD00000249,0.9736842105263158,0.95,1.0,0.9743589743589743,False,0.9736842105263158,0.95,1.0,0.9743589743589743,False
tdbD00000380,0.5,0.16666666666666666,0.3333333333333333,0.2222222222222222,False,1.0,1.0,1.0,1.0,True
tdbD00000384,0.6,0.5238095238095238,0.55,0.5365853658536585,False,1.0,1.0,1.0,1.0,True
tdbD00000504,0.5972222222222222,0.6,0.5454545454545454,0.5714285714285713,False,1.0,1.0,1.0,1.0,True
tdbD00000514,0.72,0.6190476190476191,0.6190476190476191,0.6190476190476191,False,1.0,1.0,1.0,1.0,True
tdbD00000534,0.9444444444444444,0.9047619047619048,1.0,0.9500000000000001,False,1.0,1.0,1.0,1.0,True
tdbD00000642,0.7464788732394366,0.5714285714285714,0.6,0.5853658536585366,False,0.7746478873239436,0.47619047619047616,0.5555555555555556,0.5128205128205129,False
tdbD00000645,0.9444444444444444,0.8947368421052632,1.0,0.9444444444444444,False,1.0,1.0,1.0,1.0,True
tdbD00000649,0.8356164383561644,0.8095238095238095,0.7083333333333334,0.7555555555555556,False,1.0,1.0,1.0,1.0,True
tdbD00000665,0.9444444444444444,0.9523809523809523,0.9523809523809523,0.9523809523809523,False,1.0,1.0,1.0,1.0,True
tdbD00000803,0.971830985915493,0.9545454545454546,1.0,0.9767441860465117,False,1.0,1.0,1.0,1.0,True
tdbD00000807,0.6710526315789473,0.5909090909090909,0.5,0.5416666666666667,False,1.0,1.0,1.0,1.0,True
tdbD00000812,0.8918918918918919,0.8095238095238095,1.0,0.8947368421052632,False,1.0,1.0,1.0,1.0,True
tdbD00000827,0.9466666666666667,1.0,0.9130434782608695,0.9545454545454545,False,1.0,1.0,1.0,1.0,True
tdbD00000833,0.92,1.0,0.875,0.9333333333333333,False,1.0,1.0,1.0,1.0,True
tdbD00000836,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00000953,0.7746478873239436,0.7727272727272727,0.85,0.8095238095238095,False,1.0,1.0,1.0,1.0,True
tdbD00000987,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00001142,0.948051948051948,1.0,0.9130434782608695,0.9545454545454545,False,1.0,1.0,1.0,1.0,True
tdbD00001159,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00001176,0.948051948051948,1.0,0.9130434782608695,0.9545454545454545,False,1.0,1.0,1.0,1.0,True
tdbD00001318,0.7027027027027027,0.5714285714285714,0.6,0.5853658536585366,False,1.0,1.0,1.0,1.0,True
tdbD00001340,0.9743589743589743,0.9545454545454546,0.9545454545454546,0.9545454545454546,False,1.0,1.0,1.0,1.0,True
tdbD00001458,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00001467,0.9178082191780822,0.8636363636363636,1.0,0.9268292682926829,False,1.0,1.0,1.0,1.0,True
tdbD00001473,0.9726027397260274,0.95,1.0,0.9743589743589743,False,1.0,1.0,1.0,1.0,True
tdbD00001474,0.7808219178082192,0.7619047619047619,0.7272727272727273,0.7441860465116279,False,1.0,1.0,1.0,1.0,True
tdbD00001484,0.6506024096385542,0.5416666666666666,0.4482758620689655,0.49056603773584906,False,1.0,1.0,1.0,1.0,True
tdbD00001496,0.6470588235294118,0.5,0.5,0.5,False,1.0,1.0,1.0,1.0,True
